"CASE" "YEAR" "AGE" "EVNO" "SUPR" "HRS" "NOEM" "SEX1" "TU" "PROM" "SC80"
"463" 253 73 32 8 1 6 "5" 3 0 2 "10"
"464" 257 67 15 1 2 6 "2" 1 0 2 "32"
"465" 257 74 22 2 2 6 "4" 1 0 2 "32"
"466" 257 76 24 3 2 6 "5" 2 1 1 "32"
"467" 257 78 26 4 2 6 "3" 1 0 1 "32"
"468" 258 53 15 1 2 7 "2" 1 1 2 "32"
"469" 258 59 21 2 2 7 "2" 1 1 2 "32"
"470" 258 62 24 4 2 6 "2" 1 1 2 "32"
"471" 258 62 24 5 2 6 "5" 2 0 1 "31"
"472" 258 69 31 6 2 6 "5" 2 0 1 "31"
"473" 258 72 34 7 2 6 "5" 2 0 1 "20"
"474" 258 76 38 8 2 6 "5" 2 0 1 "31"
"475" 258 78 40 9 1 6 "5" 2 0 1 "20"
"476" 258 80 42 10 2 6 "5" 2 0 1 "20"
"477" 258 82 44 11 1 6 "5" 2 0 1 "20"
"478" 258 83 45 12 1 6 "5" 2 0 1 "20"
"479" 259 61 15 1 2 7 "5" 1 1 1 "32"
"480" 259 69 23 2 2 6 "4" 1 1 1 "32"
"481" 259 70 24 3 2 6 "5" 1 1 1 "32"
"482" 259 71 25 4 2 6 "4" 1 1 1 "20"
"483" 259 77 31 5 1 6 "4" 1 1 1 "20"
"484" 259 80 34 6 1 6 "4" 1 1 1 "20"
"485" 259 84 38 7 1 6 "4" 1 1 1 "20"
"486" 262 69 15 1 2 6 "4" 1 1 2 "40"
"487" 262 73 19 2 2 6 "4" 1 1 2 "40"
"488" 262 74 20 3 2 6 "4" 1 1 2 "40"
"489" 262 75 21 4 2 6 "3" 1 1 2 "40"
"490" 262 83 29 6 2 6 "2" 1 1 2 "40"
"491" 262 84 30 8 2 6 "3" 1 1 2 "40"
"492" 262 85 31 10 8 6 "3" 1 1 2 "40"
"493" 265 81 18 1 2 6 "5" 2 0 1 "31"
"494" 265 83 20 2 2 6 "5" 2 0 1 "31"
"495" 265 83 20 3 2 6 "2" 1 0 1 "20"
"496" 265 85 22 4 1 7 "5" 3 0 1 "31"
"497" 271 44 14 1 2 8 "2" 1 1 2 "32"
"498" 271 51 21 3 2 7 "5" 1 1 1 "32"
"499" 271 56 26 4 1 6 "4" 1 1 1 "32"
"500" 271 66 36 5 1 6 "4" 1 1 1 "32"
"501" 271 78 48 6 1 6 "2" 2 1 1 "20"
"502" 271 84 54 8 2 6 "4" 1 1 2 "32"
"503" 278 79 17 1 2 6 "2" 1 0 2 "40"
"504" 278 79 17 2 2 6 "2" 1 0 2 "32"
"505" 278 80 18 3 2 6 "2" 2 1 2 "40"
"506" 279 74 17 1 2 6 "2" 2 0 1 "32"
"507" 279 77 20 2 2 6 "2" 2 0 1 "32"
"508" 281 77 22 1 2 7 "3" 1 0 2 "50"
"509" 281 77 22 3 2 7 "4" 1 0 2 "50"
"510" 281 77 22 4 2 8 "2" 3 1 1 "20"
"511" 281 79 24 5 1 9 "2" 3 1 1 "20"
"512" 281 81 26 6 1 9 "2" 3 1 1 "20"
"513" 281 83 28 7 1 9 "2" 3 1 1 "20"
"514" 281 85 30 8 1 9 "2" 3 1 1 "20"
"515" 282 70 18 1 2 6 "5" 2 1 1 "31"
"516" 282 73 21 2 2 6 "5" 2 1 1 "40"
"517" 282 75 23 3 1 6 "5" 2 1 1 "31"
"518" 282 76 24 4 1 6 "5" 2 1 1 "31"
"519" 282 77 25 5 1 6 "5" 2 1 1 "31"
"520" 282 77 25 6 2 6 "5" 2 1 1 "20"
"521" 282 79 27 7 2 6 "4" 2 1 1 "20"
"522" 282 80 28 8 2 6 "5" 1 1 1 "20"
"523" 282 82 30 9 2 6 "5" 1 1 1 "20"
"524" 285 66 14 1 2 7 "4" 2 1 1 "10"
"525" 285 69 17 2 1 7 "5" 2 1 1 "50"
"526" 285 71 19 3 2 8 "2" 1 1 2 "40"
"527" 285 73 21 4 2 7 "3" 1 1 2 "32"
"528" 285 73 21 5 2 8 "5" 1 1 2 "50"
"529" 285 77 25 6 1 7 "4" 1 0 1 "32"
"530" 286 59 15 1 2 7 "2" 3 0 1 "40"
"531" 286 63 19 2 1 8 "3" 3 0 2 "32"
"532" 286 82 38 4 1 6 "2" 3 0 2 "32"
"533" 291 63 15 1 2 6 "2" 2 1 1 "32"
"534" 291 69 21 2 2 6 "2" 1 1 2 "32"
"535" 291 69 21 3 2 9 "5" 2 1 2 "32"
"536" 291 69 21 4 2 9 "5" 2 1 2 "32"
"537" 291 70 22 5 2 9 "2" 1 0 2 "32"
"538" 291 70 22 6 2 6 "4" 1 1 2 "32"
"539" 291 72 24 7 1 7 "2" 1 0 1 "32"
"540" 292 81 16 1 2 6 "2" 1 0 2 "40"
"541" 292 82 17 2 2 6 "2" 2 0 1 "40"
"542" 292 84 19 3 2 8 "2" 2 0 1 "32"
"543" 292 85 20 4 2 6 "2" 1 0 2 "40"
"544" 297 64 17 2 2 9 "3" 1 0 2 "40"
"545" 297 65 18 3 2 9 "4" 1 0 2 "32"
"546" 297 65 18 4 2 9 "3" 1 0 2 "32"
"547" 297 66 19 5 2 9 "3" 1 1 2 "32"
"548" 297 67 20 6 2 9 "3" 1 1 2 "32"
"549" 297 68 21 7 2 9 "3" 1 1 2 "32"
"550" 297 71 24 8 1 9 "4" 1 1 2 "32"
"551" 297 73 26 9 2 9 "4" 1 1 2 "32"
"552" 297 73 26 10 2 9 "4" 1 1 2 "32"
"553" 297 74 27 11 1 9 "4" 1 1 2 "32"
"554" 297 74 27 12 2 9 "4" 1 1 2 "32"
"555" 297 75 28 13 2 9 "4" 1 1 2 "32"
"556" 297 75 28 14 2 9 "4" 1 1 2 "32"
"557" 297 76 29 15 2 9 "4" 1 1 2 "32"
"558" 297 76 29 16 2 9 "4" 1 1 2 "32"
"559" 297 77 30 17 2 9 "4" 1 1 2 "32"
"560" 297 79 32 19 2 9 "4" 1 1 2 "32"
"561" 297 79 32 20 2 9 "3" 1 1 2 "32"
"562" 297 79 32 21 2 9 "4" 1 1 2 "40"
"563" 297 79 32 22 2 9 "4" 1 1 2 "32"
"564" 297 80 33 23 2 9 "4" 1 1 2 "32"
"565" 297 80 33 24 2 9 "4" 1 1 2 "32"
"566" 297 84 37 26 2 9 "4" 1 1 2 "32"
"567" 297 84 37 27 2 9 "4" 1 1 2 "32"
"568" 299 57 25 4 2 9 "5" 1 1 2 "40"
"569" 299 57 25 5 2 9 "5" 1 0 2 "40"
"570" 299 60 28 6 2 9 "4" 1 0 2 "40"
"571" 299 61 29 7 2 6 "4" 1 0 2 "40"
"572" 299 63 31 8 2 6 "5" 1 0 2 "40"
"573" 299 64 32 9 2 9 "5" 1 0 2 "40"
"574" 299 75 43 10 2 9 "5" 1 0 2 "40"
"575" 300 58 30 3 2 9 "5" 1 1 2 "50"
"576" 300 59 31 4 2 9 "2" 1 0 2 "40"
"577" 300 61 33 5 2 9 "4" 1 1 2 "32"
"578" 300 65 37 6 2 9 "5" 1 1 2 "32"
"579" 300 69 41 7 2 8 "5" 1 1 2 "32"
"580" 300 76 48 8 2 9 "5" 1 1 2 "50"
"581" 301 55 26 2 2 9 "4" 1 1 2 "32"
"582" 302 73 21 2 2 6 "4" 2 1 2 "10"
"583" 302 78 26 3 2 6 "3" 1 0 2 "10"
"584" 302 81 29 5 2 6 "3" 2 0 1 "10"
"585" 302 85 33 6 2 6 "3" 1 0 1 "10"
"586" 302 85 33 7 2 6 "3" 1 0 1 "10"
"587" 302 86 34 8 1 6 "3" 1 0 1 "10"
"588" 305 59 15 1 2 6 "4" 2 0 2 "50"
"589" 305 60 16 2 2 7 "1" 4 0 2 "40"
"590" 305 65 21 3 2 6 "1" 4 0 2 "40"
"591" 305 65 21 4 2 5 "4" 2 1 2 "50"
"592" 305 68 24 5 2 6 "2" 1 0 2 "50"
"593" 305 70 26 6 2 5 "5" 1 1 2 "50"
"594" 305 72 28 7 2 6 "4" 1 1 2 "50"
"595" 313 63 16 2 2 4 "2" 1 1 2 "32"
"596" 313 68 21 3 2 6 "4" 4 1 1 "32"
"597" 313 69 22 4 2 9 "4" 2 0 1 "32"
"598" 313 71 24 5 1 9 "4" 2 0 1 "32"
"599" 313 74 27 6 1 9 "4" 2 0 1 "32"
"600" 313 79 32 7 1 9 "4" 2 0 1 "32"
"601" 313 81 34 8 1 9 "4" 2 0 2 "20"
"602" 313 83 36 9 1 6 "4" 1 0 1 "20"
"603" 314 46 14 1 2 7 "4" 1 0 1 "32"
"604" 314 47 15 2 2 7 "5" 1 0 1 "40"
"605" 314 47 15 3 2 7 "5" 2 0 1 "40"
"606" 314 54 22 8 2 9 "5" 1 0 2 "40"
"607" 314 55 23 10 2 6 "4" 1 1 2 "40"
"608" 314 58 26 11 2 9 "4" 1 0 2 "32"
"609" 314 61 29 13 2 9 "4" 1 0 2 "50"
"610" 314 62 30 14 2 6 "4" 1 1 2 "32"
"611" 314 66 34 15 2 6 "5" 2 0 2 "32"
"612" 314 67 35 16 2 9 "5" 4 0 2 "40"
"613" 314 69 37 18 2 6 "5" 4 1 2 "40"
"614" 316 44 14 1 2 7 "2" 1 0 2 "32"
"615" 316 45 15 2 2 7 "2" 1 0 2 "32"
"616" 316 45 15 3 2 7 "4" 1 1 2 "40"
"617" 316 50 20 4 2 7 "3" 1 1 2 "40"
"618" 316 53 23 5 1 7 "4" 1 0 2 "20"
"619" 316 56 26 6 2 7 "4" 1 1 2 "32"
"620" 316 62 32 7 2 9 "4" 1 0 2 "40"
"621" 316 64 34 8 2 6 "4" 1 0 2 "40"
"622" 316 66 36 9 2 6 "3" 1 0 2 "40"
"623" 316 69 39 10 2 6 "2" 1 0 2 "40"
"624" 316 74 44 11 1 7 "5" 1 1 2 "40"
"625" 327 80 16 1 2 6 "2" 1 0 2 "32"
"626" 327 84 20 3 2 6 "2" 1 0 2 "32"
"627" 327 84 20 4 2 6 "4" 1 0 1 "32"
"628" 327 85 21 6 2 7 "3" 2 0 1 "40"
"629" 330 59 14 1 2 6 "3" 1 1 2 "32"
"630" 330 60 15 2 2 6 "2" 1 0 2 "32"
"631" 330 66 21 3 2 7 "3" 1 0 1 "32"
"632" 330 70 25 4 1 7 "2" 1 0 1 "32"
"633" 330 80 35 6 2 6 "4" 1 1 1 "20"
"634" 332 77 16 2 2 6 "3" 1 0 2 "32"
"635" 332 81 20 4 2 6 "3" 1 0 1 "40"
"636" 332 83 22 6 2 6 "2" 1 0 1 "40"
"637" 334 73 18 1 2 6 "5" 3 1 1 "31"
"638" 334 74 19 2 2 6 "4" 3 1 1 "20"
"639" 334 78 23 3 1 6 "5" 3 1 1 "20"
"640" 334 83 28 4 1 6 "5" 3 1 1 "20"
"641" 334 86 31 5 1 6 "5" 3 1 1 "20"
"642" 336 84 23 2 1 6 "4" 1 1 1 "32"
"643" 341 64 38 4 1 8 "4" 1 1 1 "40"
"644" 341 67 41 5 1 9 "4" 2 1 2 "32"
"645" 343 81 21 1 2 2 "2" 2 0 2 "40"
"646" 343 81 21 2 1 8 "2" 2 0 1 "20"
"647" 343 82 22 3 2 5 "3" 2 1 1 "31"
"648" 343 84 24 4 1 5 "2" 2 1 1 "31"
"649" 343 85 25 5 1 5 "2" 2 1 1 "20"
"650" 346 70 15 1 2 7 "3" 1 0 2 "32"
"651" 346 73 18 2 2 6 "5" 1 0 2 "32"
"652" 346 75 20 3 2 8 "4" 1 0 2 "32"
"653" 346 77 22 4 2 8 "5" 1 1 1 "32"
"654" 346 85 30 6 2 8 "5" 1 1 2 "32"
"655" 348 60 15 1 2 6 "3" 1 0 2 "32"
"656" 348 62 17 2 2 9 "4" 1 1 2 "40"
"657" 348 65 20 3 2 9 "3" 1 1 1 "50"
"658" 348 66 21 4 2 9 "4" 1 1 1 "32"
"659" 348 66 21 5 2 9 "4" 2 1 2 "32"
"660" 348 68 23 6 2 9 "4" 1 1 2 "32"
"661" 348 72 27 8 2 9 "4" 2 0 2 "32"
"662" 348 78 33 10 2 9 "3" 1 0 2 "50"
"663" 348 81 36 11 2 6 "4" 2 0 2 "50"
"664" 348 81 36 12 2 9 "4" 2 0 2 "50"
"665" 349 49 15 1 2 7 "5" 1 0 2 "31"
"666" 349 51 17 2 2 6 "2" 1 0 2 "40"
"667" 349 54 20 5 2 7 "5" 1 0 2 "32"
"668" 349 54 20 6 2 4 "2" 1 0 2 "50"
"669" 349 55 21 7 1 6 "5" 1 0 1 "32"
"670" 349 57 23 8 2 6 "5" 2 0 1 "50"
"671" 349 61 27 9 1 6 "3" 1 0 1 "31"
"672" 349 62 28 10 2 6 "4" 1 0 2 "32"
"673" 349 62 28 11 2 6 "2" 1 0 2 "32"
"674" 349 63 29 12 8 6 "4" 1 0 2 "32"
"675" 349 64 30 13 2 6 "2" 1 0 2 "32"
"676" 349 68 34 14 2 6 "2" 1 0 2 "32"
"677" 349 70 36 15 2 6 "2" 1 0 2 "32"
"678" 349 75 41 16 2 6 "2" 1 0 2 "50"
"679" 349 80 46 18 8 6 "2" 1 0 2 "32"
"680" 349 80 46 20 2 6 "5" 1 1 2 "32"
"681" 351 68 14 2 2 7 "5" 1 0 1 "50"
"682" 351 70 16 3 2 7 "5" 1 0 2 "32"
"683" 351 70 16 4 2 7 "5" 1 1 1 "40"
"684" 351 70 16 5 2 7 "5" 1 1 1 "40"
"685" 351 72 18 6 2 6 "4" 2 0 1 "40"
"686" 351 73 19 7 2 7 "4" 4 0 1 "20"
"687" 351 74 20 8 2 6 "1" 4 0 1 "20"
"688" 351 76 22 9 1 8 "1" 4 0 2 "20"
"689" 353 59 16 1 2 6 "2" 2 0 2 "40"
"690" 353 65 22 5 2 6 "2" 3 0 2 "40"
"691" 353 68 25 7 2 6 "2" 3 1 2 "40"
"692" 353 76 33 10 2 6 "3" 3 0 2 "20"
"693" 353 78 35 11 1 6 "3" 3 1 2 "40"
"694" 353 84 41 14 2 6 "3" 3 1 2 "40"
"695" 356 70 21 1 2 6 "3" 1 1 1 "31"
"696" 356 71 22 3 2 6 "3" 1 1 1 "31"
"697" 356 73 24 4 2 6 "4" 1 1 1 "20"
"698" 356 74 25 5 1 6 "4" 1 1 2 "32"
"699" 356 77 28 6 2 6 "4" 1 1 2 "32"
"700" 356 84 35 7 1 6 "4" 1 1 2 "20"
"701" 357 67 17 1 2 6 "5" 3 1 1 "31"
"702" 357 68 18 2 2 6 "5" 3 1 1 "31"
"703" 357 73 23 3 1 6 "4" 3 1 1 "20"
"704" 357 75 25 4 1 6 "5" 3 1 1 "20"
"705" 357 84 34 5 1 6 "5" 3 1 1 "20"
"706" 359 67 14 1 2 6 "4" 2 0 1 "50"
"707" 359 69 16 2 2 6 "3" 1 0 2 "50"
"708" 359 69 16 3 8 6 "3" 1 0 2 "50"
"709" 359 80 27 4 2 6 "4" 2 1 2 "40"
"710" 359 82 29 5 2 6 "2" 1 0 2 "50"
"711" 359 83 30 6 2 6 "4" 1 0 2 "50"
"712" 359 84 31 7 1 8 "4" 2 0 1 "40"
"713" 360 80 15 1 2 5 "2" 1 0 2 "50"
"714" 360 80 15 2 2 6 "2" 1 0 1 "32"
"715" 360 82 17 4 2 6 "1" 1 0 1 "32"
"716" 360 82 17 5 8 6 "3" 2 0 1 "40"
"717" 360 83 18 6 8 6 "2" 2 1 1 "32"
"718" 360 84 19 7 8 6 "2" 2 1 1 "32"
"719" 360 86 21 8 8 6 "2" 2 1 1 "40"
"720" 361 78 19 4 2 6 "4" 2 0 2 "40"
"721" 361 85 26 8 8 6 "3" 2 0 2 "32"
"722" 361 86 27 10 2 7 "3" 2 0 1 "20"
"723" 364 65 15 1 2 6 "2" 1 1 1 "32"
"724" 364 67 17 3 2 7 "2" 1 1 1 "50"
"725" 364 73 23 7 8 6 "2" 1 0 2 "40"
"726" 364 75 25 9 2 9 "2" 1 1 1 "40"
"727" 364 76 26 11 8 9 "3" 1 0 1 "32"
"728" 364 82 32 13 2 9 "2" 1 0 1 "40"
"729" 366 81 16 1 2 6 "2" 3 0 1 "50"
"730" 366 82 17 2 2 6 "2" 3 0 1 "31"
"731" 368 83 17 2 2 6 "4" 2 1 2 "40"
"732" 370 54 15 1 2 6 "5" 1 1 1 "40"
"733" 370 54 15 2 2 6 "5" 2 1 1 "40"
"734" 370 55 16 3 2 6 "5" 2 1 1 "40"
"735" 370 55 16 4 2 6 "5" 3 1 1 "40"
"736" 370 56 17 6 2 7 "2" 1 0 1 "32"
"737" 370 60 21 7 2 6 "2" 1 1 1 "31"
"738" 370 67 28 8 2 6 "5" 1 1 1 "40"
"739" 370 68 29 10 2 9 "3" 1 1 1 "40"
"740" 370 74 35 13 2 9 "3" 1 1 1 "31"
"741" 370 76 37 14 1 9 "3" 1 1 1 "40"
"742" 370 78 39 15 2 9 "2" 1 0 2 "32"
"743" 370 79 40 16 2 6 "3" 2 1 1 "32"
"744" 370 84 45 17 2 6 "3" 2 0 1 "32"
"745" 378 57 16 1 2 7 "4" 1 1 2 "31"
"746" 378 59 18 2 2 6 "4" 1 0 1 "31"
"747" 378 69 28 3 2 6 "4" 1 0 1 "31"
"748" 378 74 33 4 2 6 "4" 1 0 1 "31"
"749" 384 80 16 1 2 6 "2" 1 0 2 "32"
"750" 384 80 16 2 2 6 "2" 1 0 2 "32"
"751" 384 81 17 3 2 6 "2" 1 0 2 "31"
"752" 384 82 18 5 2 8 "3" 2 0 2 "50"
"753" 384 85 21 7 8 4 "3" 1 1 2 "50"
"754" 390 72 21 1 2 7 "3" 1 0 1 "40"
"755" 390 74 23 3 1 6 "2" 2 1 1 "20"
"756" 393 68 15 1 2 6 "2" 2 1 2 "32"
"757" 393 75 22 2 2 7 "3" 2 1 2 "40"
"758" 393 78 25 3 2 6 "4" 1 1 2 "32"
"759" 395 79 18 1 2 6 "4" 2 1 2 "50"
"760" 395 82 21 3 2 6 "2" 1 0 2 "40"
"761" 395 84 23 5 2 6 "2" 1 0 2 "40"
"762" 413 69 16 1 2 6 "2" 1 1 1 "32"
"763" 413 73 20 2 2 6 "3" 1 1 1 "31"
"764" 413 75 22 3 2 6 "3" 1 1 1 "31"
"765" 413 80 27 4 1 6 "3" 1 0 1 "31"
"766" 413 85 32 6 2 5 "3" 1 0 2 "31"
"767" 414 40 14 1 2 8 "4" 1 1 2 "32"
"768" 414 45 19 2 2 8 "3" 1 1 2 "32"
"769" 414 46 20 3 2 8 "3" 1 1 2 "32"
"770" 414 47 21 4 2 8 "4" 1 1 2 "32"
"771" 414 48 22 5 2 8 "2" 1 1 2 "32"
"772" 414 50 24 6 2 8 "4" 1 1 1 "32"
"773" 414 51 25 7 1 9 "4" 1 0 2 "20"
"774" 414 56 30 8 1 8 "3" 1 0 2 "20"
"775" 417 78 21 1 2 9 "3" 1 0 1 "32"
"776" 417 78 21 3 2 7 "4" 2 1 1 "50"
"777" 417 79 22 5 2 7 "2" 2 0 2 "50"
"778" 417 80 23 6 2 5 "4" 3 1 1 "20"
"779" 418 78 16 2 2 6 "4" 1 0 1 "31"
"780" 418 82 20 3 1 6 "4" 1 0 1 "31"
"781" 418 84 22 4 1 6 "4" 1 0 1 "31"
"782" 420 69 14 1 2 6 "5" 1 1 2 "32"
"783" 420 75 20 2 2 6 "4" 1 1 2 "32"
"784" 420 80 25 3 2 6 "4" 1 1 2 "32"
"785" 420 85 30 4 2 6 "3" 1 1 2 "32"
"786" 426 69 16 1 2 7 "2" 1 1 2 "32"
"787" 426 73 20 2 1 6 "3" 1 1 1 "20"
"788" 426 74 21 3 1 6 "3" 1 1 1 "20"
"789" 426 75 22 4 2 6 "4" 1 1 2 "20"
"790" 426 77 24 5 1 6 "4" 1 1 1 "10"
"791" 436 68 15 1 2 5 "3" 1 0 2 "32"
"792" 436 70 17 2 2 6 "3" 1 0 2 "32"
"793" 436 75 22 3 2 6 "5" 1 1 2 "32"
"794" 436 77 24 4 2 6 "5" 1 0 2 "32"
"795" 436 81 28 5 2 6 "4" 1 0 2 "32"
"796" 436 82 29 6 2 1 "4" 1 0 2 "32"
"797" 436 83 30 7 2 8 "2" 1 0 2 "32"
"798" 436 84 31 8 2 6 "5" 1 1 1 "32"
"799" 443 56 16 1 2 7 "2" 1 1 1 "32"
"800" 443 71 31 2 2 6 "4" 1 1 1 "31"
"801" 443 77 37 3 1 6 "2" 1 1 1 "31"
"802" 444 69 16 1 2 6 "3" 1 0 2 "40"
"803" 444 69 16 2 2 6 "3" 1 0 2 "50"
"804" 444 72 19 3 2 6 "3" 3 0 2 "40"
"805" 444 72 19 4 2 6 "2" 2 0 2 "40"
"806" 444 74 21 5 2 6 "5" 1 1 1 "32"
"807" 447 82 17 1 2 6 "3" 1 0 2 "40"
"808" 447 83 18 2 2 6 "2" 1 1 2 "32"
"809" 447 85 20 3 2 6 "2" 1 0 2 "32"
"810" 448 67 15 1 2 6 "2" 2 0 2 "32"
"811" 448 67 15 3 2 6 "2" 2 0 2 "32"
"812" 448 76 24 6 2 6 "2" 2 1 2 "40"
"813" 452 74 16 1 2 8 "3" 1 1 1 "32"
"814" 452 78 20 2 2 6 "3" 1 0 1 "32"
"815" 453 74 16 1 2 4 "5" 1 0 2 "50"
"816" 453 79 21 3 2 3 "4" 2 0 2 "40"
"817" 453 80 22 4 2 6 "4" 2 0 2 "40"
"818" 457 82 22 1 2 5 "3" 2 1 2 "20"
"819" 457 83 23 2 1 5 "2" 3 1 1 "20"
"820" 459 80 16 2 2 6 "2" 2 0 1 "40"
"821" 459 85 21 3 1 6 "3" 3 0 1 "32"
"822" 459 86 22 4 1 6 "3" 3 0 1 "32"
"823" 460 70 21 1 2 7 "2" 3 1 1 "20"
"824" 460 72 23 2 2 7 "2" 3 1 1 "20"
"825" 460 73 24 3 2 7 "2" 3 0 1 "20"
"826" 460 74 25 4 2 7 "2" 3 0 1 "20"
"827" 460 76 27 5 2 7 "2" 3 0 1 "20"
"828" 460 78 29 6 1 7 "2" 3 1 1 "20"
"829" 460 84 35 7 1 7 "2" 3 1 1 "20"
"830" 465 75 16 1 2 6 "5" 2 1 2 "40"
"831" 465 79 20 3 2 6 "5" 2 1 2 "40"
"832" 467 71 21 1 2 6 "4" 1 0 2 "31"
"833" 467 72 22 2 2 6 "4" 4 0 2 "31"
"834" 467 75 25 3 2 7 "4" 2 1 1 "20"
"835" 467 79 29 4 1 7 "4" 1 1 2 "20"
"836" 467 83 33 5 1 7 "2" 2 1 2 "20"
"837" 467 85 35 6 2 8 "4" 2 1 1 "31"
"838" 469 75 16 1 2 7 "3" 1 0 1 "32"
"839" 469 79 20 2 2 9 "3" 1 0 1 "32"
"840" 469 83 24 5 2 9 "2" 2 0 1 "31"
"841" 469 85 26 6 1 9 "2" 2 0 1 "20"
"842" 474 48 17 1 2 6 "3" 1 1 1 "40"
"843" 474 52 21 3 2 6 "3" 1 1 1 "40"
"844" 474 55 24 4 2 6 "3" 1 1 2 "32"
"845" 474 58 27 5 2 6 "3" 1 1 2 "32"
"846" 474 59 28 6 2 6 "2" 1 1 2 "32"
"847" 474 60 29 7 2 7 "2" 1 0 2 "31"
"848" 474 63 32 9 2 6 "2" 1 1 2 "32"
"849" 474 65 34 10 2 6 "2" 1 1 2 "32"
"850" 474 67 36 11 2 6 "2" 1 1 2 "32"
"851" 474 71 40 14 2 6 "2" 1 1 2 "32"
"852" 474 74 43 16 2 6 "2" 1 1 2 "32"
"853" 474 75 44 17 2 7 "5" 1 1 2 "32"
"854" 474 77 46 18 2 6 "2" 1 1 2 "32"
"855" 474 79 48 19 2 7 "5" 1 1 2 "32"
"856" 475 76 16 1 2 6 "2" 1 0 2 "50"
"857" 475 77 17 2 2 6 "5" 2 0 2 "50"
"858" 475 84 24 6 1 6 "5" 1 0 2 "31"
"859" 475 85 25 7 2 6 "5" 2 0 1 "50"
"860" 475 85 25 8 1 6 "5" 2 0 1 "32"
"861" 480 50 15 1 2 7 "4" 1 1 2 "32"
"862" 480 56 21 2 2 7 "4" 1 1 1 "32"
"863" 480 84 49 3 2 6 "4" 1 1 2 "40"
"864" 481 68 16 2 2 6 "2" 1 1 2 "32"
"865" 481 72 20 3 2 6 "2" 1 1 1 "32"
"866" 481 73 21 4 2 9 "2" 1 1 1 "32"
"867" 481 74 22 5 1 9 "2" 1 1 1 "32"
"868" 481 76 24 6 2 9 "2" 2 1 1 "32"
"869" 481 76 24 7 1 6 "4" 1 1 1 "20"
"870" 481 84 32 8 1 6 "4" 1 1 1 "20"
"871" 492 57 14 1 2 6 "5" 3 1 1 "50"
"872" 492 63 20 2 2 6 "3" 1 1 1 "50"
"873" 492 63 20 3 2 6 "2" 1 0 2 "50"
"874" 492 65 22 4 2 8 "4" 1 1 1 "32"
"875" 492 65 22 5 2 9 "2" 1 1 2 "32"
"876" 492 66 23 6 2 8 "3" 1 1 1 "40"
"877" 492 67 24 7 2 9 "2" 2 0 2 "32"
"878" 492 69 26 8 2 6 "5" 3 1 1 "32"
"879" 492 69 26 9 2 9 "3" 1 0 1 "32"
"880" 492 69 26 10 2 9 "2" 1 0 2 "31"
"881" 492 70 27 11 2 6 "4" 1 1 1 "50"
"882" 492 75 32 12 1 6 "4" 1 1 1 "31"
"883" 492 77 34 13 1 6 "4" 1 1 1 "32"
"884" 492 86 43 14 1 6 "5" 1 1 1 "20"
"885" 494 54 14 1 2 9 "1" 4 0 2 "40"
"886" 494 68 28 2 2 7 "3" 1 1 2 "40"
"887" 494 73 33 4 2 7 "4" 1 1 2 "40"
"888" 494 75 35 6 2 6 "4" 2 1 2 "40"
"889" 494 76 36 7 2 9 "4" 2 1 2 "40"
"890" 494 78 38 8 2 6 "4" 2 1 2 "40"
"891" 494 78 38 9 2 5 "5" 2 1 1 "40"
"892" 494 79 39 10 2 6 "4" 2 1 2 "40"
"893" 497 80 15 2 2 6 "2" 1 0 2 "50"
"894" 497 83 18 4 2 6 "2" 1 0 2 "50"
"895" 497 85 20 5 2 6 "3" 2 1 1 "50"
"896" 501 62 15 1 2 9 "5" 1 1 1 "32"
"897" 501 67 20 2 2 6 "3" 2 0 2 "40"
"898" 501 69 22 3 2 9 "5" 4 1 1 "32"
"899" 501 81 34 4 2 9 "2" 3 0 2 "20"
"900" 501 83 36 5 2 9 "4" 1 1 1 "40"
"901" 503 68 16 1 2 6 "2" 1 0 1 "10"
"902" 503 73 21 2 2 8 "5" 1 1 2 "40"
"903" 503 74 22 3 2 6 "3" 1 0 2 "32"
"904" 503 74 22 4 2 6 "2" 1 0 2 "32"
"905" 503 75 23 5 2 6 "3" 1 0 2 "32"
"906" 503 75 23 6 2 7 "2" 1 1 2 "32"
"907" 503 78 26 7 2 4 "4" 1 1 1 "32"
"908" 505 69 15 1 2 8 "3" 1 1 2 "40"
"909" 505 74 20 2 2 8 "3" 1 1 2 "32"
"910" 505 76 22 3 2 8 "4" 1 1 2 "32"
"911" 505 82 28 4 1 9 "3" 1 1 1 "20"
"912" 507 49 15 1 2 7 "3" 3 1 2 "32"
"913" 507 54 20 3 2 7 "3" 3 1 2 "32"
"914" 507 58 24 4 2 7 "3" 1 1 2 "40"
"915" 507 66 32 5 2 6 "5" 2 1 2 "40"
"916" 507 77 43 6 8 9 "5" 1 1 2 "40"
"917" 511 69 16 1 2 9 "5" 2 1 2 "40"
"918" 511 76 23 2 2 6 "2" 1 0 1 "31"
"919" 511 79 26 3 1 9 "5" 2 1 1 "32"
"920" 511 84 31 4 1 9 "2" 1 0 1 "31"
"921" 513 60 15 1 2 6 "2" 1 0 1 "50"
"922" 513 62 17 2 2 6 "2" 1 0 2 "32"
"923" 513 65 20 3 2 6 "4" 1 0 2 "32"
"924" 513 67 22 4 2 6 "5" 1 0 2 "32"
"925" 513 70 25 5 2 6 "3" 1 0 2 "32"
"926" 513 74 29 7 2 6 "3" 1 0 2 "32"
